Course Name,Identifier,Block
"AR4060 Art, Technology, and Computing",AR4060-001,G13L5L
"AR4070 Art, Technology, and Computing",AR4070-001,G13L5L
AR4100 Drawing,AR4100-002,E12L5
AR4110 Painting,AR4110-002,D135L
AR4310 Digital Photography,AR4310-002,H24
AR4500 Advanced Drawing,AR4500-002,M12345
AR4510 Advanced Painting,AR4510-002,M12345
AR4520 Advanced Studio Art,AR4520-002,M12345
AS4030 Writing and American Studies,AS4030-001,A12L34
AS4030 Writing and American Studies,AS4030-002,A12L34
AS4030 Writing and American Studies,AS4030-003,B124L5
AS4030 Writing and American Studies,AS4030-004,B124L5
AS4050 American Studies,AS4050-001,A12L34
AS4050 American Studies,AS4050-002,A12L34
AS4050 American Studies,AS4050-003,B124L5
AS4050 American Studies,AS4050-004,B124L5
AS4050 American Studies,AS4050-005,C13L45
AS4050 American Studies,AS4050-006,C13L45
AS4050 American Studies,AS4050-007,C13L45
AS4050 American Studies,AS4050-008,C13L45
AS4050 American Studies,AS4050-009,D1235L
AS4050 American Studies,AS4050-010,D1235L
AS4050 American Studies,AS4050-011,D1235L
AS4050 American Studies,AS4050-012,E12L35
AS4050 American Studies,AS4050-013,E12L35
AS4050 American Studies,AS4050-014,E12L35
AS4050 American Studies,AS4050-015,E12L35
AS4050 American Studies,AS4050-016,E12L35
AS4050 American Studies,AS4050-017,E12L35
AS4050 American Studies,AS4050-018,F134L5
AS4050 American Studies,AS4050-019,F134L5
AS4050 American Studies,AS4050-020,F134L5
AS4050 American Studies,AS4050-021,F134L5
AS4050 American Studies,AS4050-022,G13L5L
AS4050 American Studies,AS4050-023,G13L5L
BI3560 Sports Kinesiology,BI3560-001,A12L34
BI3580 Classical Genetics (*M*),BI3580-002,C13L45
BI3580 Classical Genetics (*M*),BI3580-003,B124L5
BI3700 Evolution,BI3700-001,A12L34
BI3700 Evolution,BI3700-003,C13L45
BI4030 Environmental Science (*R*),BI4030-001,D1235L
BI4110 Molecular Genetics (*R*),BI4110-003,A12L34
BI4110 Molecular Genetics (*R*),BI4110-004,E12L35
BI4130 Aquatic Ecology (*R*),BI4130-001,B124L5
BI4130 Aquatic Ecology (*R*),BI4130-002,F134L5
BI4140 Molecular & Cellular Biol,BI4140-001,B124L5
BI4140 Molecular & Cellular Biol,BI4140-002,F134L5
BI4140 Molecular & Cellular Biol,BI4140-003,D1235L
BI4140 Molecular & Cellular Biol,BI4140-004,C13L45
BI4160 Neuroscience (*R*),BI4160-001,A12L34
BI4160 Neuroscience (*R*),BI4160-002,C13L45
BI4200 Immunology (*R*),BI4200-001,G13L5L
BI4211 AP Biology (II) (*R*),BI4211-001,B124L5
BI4211 AP Biology (II) (*R*),BI4211-003,D1235L
BI4920 Research in Biology I (*R*),BI4920-001,F134L5G13L5L
BI4920 Research in Biology I (*R*),BI4920-002,F134L5G13L5L
CH3500 Chemistry Core - Atoms & Molecules,CH3500-004,A12L34
CH3500 Chemistry Core - Atoms & Molecules,CH3500-005,E12L35
CH4000 Chemistry Core - Reactions & Energy,CH4000-004,B124L5
CH4000 Chemistry Core - Reactions & Energy,CH4000-005,F134L5
CH4120 AP Chemistry (II): Kinetics & Energy,CH4120-001,A12L34
CH4120 AP Chemistry (II): Kinetics & Energy,CH4120-002,E12L35
CH4120 AP Chemistry (II): Kinetics & Energy,CH4120-003,C13L45
CH4120 AP Chemistry (II): Kinetics & Energy,CH4120-004,B124L5
CH4120 AP Chemistry (II): Kinetics & Energy,CH4120-005,F134L5
CH4120 AP Chemistry (II): Kinetics & Energy,CH4120-006,D1235L
CH4120 AP Chemistry (II): Kinetics & Energy,CH4120-007,D1235L
CH4130 Organic Chemistry,CH4130-003,B124L5
CH4130 Organic Chemistry,CH4130-004,F134L5
CH4130 Organic Chemistry,CH4130-005,C13L45
